ONS ID,ONS region ID,Constituency,County name,Region name,Country name,Constituency type,Declaration time,MemberFirstName,MemberSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,WinningVotes,WinningShare,Majority,Con,Lab,LD,BRX,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
E14000557,E12000008,Bexhill and Battle,East Sussex,South East,England,County,13/12/2019 03:42,Huw,Merriman,Male,Con hold,Con,Lab,"81,963","59,093",352,"37,590",63.6%,"26,059","37,590","11,531","7,280",0,"2,692",0,0,0,0,0,0,0,0,0
E14000558,E12000007,Bexleyheath and Crayford,London,London,England,Borough,13/12/2019 03:44,David,Evennett,Male,Con hold,Con,Lab,"65,466","43,246",167,"25,856",59.8%,"13,103","25,856","12,753","2,819",0,"1,298",0,0,0,0,0,0,0,520,0
E14000559,E12000002,Birkenhead,Merseyside,North West,England,Borough,13/12/2019 02:04,Mick,Whitley,Male,Lab hold,Lab,BSJP,"63,762","42,329",73,"24,990",59.0%,"17,705","5,540","24,990","1,620","1,489","1,405",0,0,0,0,0,0,0,"7,285",0
E14000560,E12000005,"Birmingham, Edgbaston",West Midlands,West Midlands,England,Borough,13/12/2019 03:47,Preet Kaur,Gill,Female,Lab hold,Lab,Con,"68,828","42,328",149,"21,217",50.1%,"5,614","15,603","21,217","3,349","1,047","1,112",0,0,0,0,0,0,0,0,0
E14000561,E12000005,"Birmingham, Erdington",West Midlands,West Midlands,England,Borough,13/12/2019 03:30,Jack,Dromey,Male,Lab hold,Lab,Con,"66,148","35,229",92,"17,720",50.3%,"3,601","14,119","17,720","1,301","1,441",648,0,0,0,0,0,0,0,0,0
E14000562,E12000005,"Birmingham, Hall Green",West Midlands,West Midlands,England,Borough,13/12/2019 04:27,Tahir,Ali,Male,Lab hold,Lab,Con,"80,283","52,911",180,"35,889",67.8%,"28,508","7,381","35,889","3,673",877,818,0,0,0,0,0,0,0,"4,273",0
E14000563,E12000005,"Birmingham, Hodge Hill",West Midlands,West Midlands,England,Borough,13/12/2019 04:00,Liam,Byrne,Male,Lab hold,Lab,Con,"78,295","45,003",131,"35,397",78.7%,"28,655","6,742","35,397",760,"1,519",328,0,0,0,0,0,0,0,257,0
E14000564,E12000005,"Birmingham, Ladywood",West Midlands,West Midlands,England,Borough,13/12/2019 03:34,Shabana,Mahmood,Female,Lab hold,Lab,Con,"74,912","42,118",153,"33,355",79.2%,"28,582","4,773","33,355","2,228",831,931,0,0,0,0,0,0,0,0,0
E14000565,E12000005,"Birmingham, Northfield",West Midlands,West Midlands,England,Borough,13/12/2019 04:07,Gary,Sambrook,Male,Con gain from Lab,Con,Lab,"73,694","43,098",140,"19,957",46.3%,"1,640","19,957","18,317","1,961","1,655",954,0,0,0,0,0,0,0,254,0
E14000566,E12000005,"Birmingham, Perry Barr",West Midlands,West Midlands,England,Borough,13/12/2019 03:53,Khalid,Mahmood,Male,Lab hold,Lab,Con,"72,006","42,147",115,"26,594",63.1%,"15,317","11,277","26,594","1,901","1,382",845,0,0,0,0,0,0,0,148,0
