ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,MemberFirstName,MemberSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,FormulaWonVotes,FormulaWonShare,WinningVotes,WinningVoteShare,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
E14001453,E12000005,Rugby,,West Midlands,England,John,Slinger,Male,Lab gain from Con,Lab,Con,74901,49004,196,4428,19533,39.9%,19533,39.9%,15105,19533,3252,8225,2556,0,0,0,0,0,0,0,333,0
E14001454,E12000007,"Ruislip, Northwood and Pinner",,London,England,David,Simmonds,Male,Con hold,Con,Lab,71683,47091,160,7581,21366,45.4%,21366,45.4%,21366,13785,4343,4671,2926,0,0,0,0,0,0,0,0,0
E14001455,E12000002,Runcorn and Helsby,,North West,England,Mike,Amesbury,Male,Lab hold,Lab,RUK,70801,42235,171,14696,22358,52.9%,22358,52.9%,6756,22358,2149,7662,2715,0,0,0,0,0,0,0,595,0
E14001456,E12000008,Runnymede and Weybridge,,South East,England,Ben,Spencer,Male,Con hold,Con,LD,73610,48253,156,7627,18442,38.2%,18442,38.2%,18442,9963,10815,6419,1954,0,0,0,0,0,0,0,660,0
E14001457,E12000004,Rushcliffe,,East Midlands,England,James,Naish,Male,Lab gain from Con,Lab,Con,79160,57744,212,7426,25291,43.8%,25291,43.8%,17865,25291,3133,6353,4367,0,0,0,0,0,0,0,735,0
S14000104,S92000003,Rutherglen,,Scotland,Scotland,Michael,Shanks,Male,Lab gain from SNP,Lab,SNP,72674,42484,129,8767,21460,50.5%,21460,50.5%,2420,21460,1714,2685,0,12693,0,0,0,0,0,0,1512,0
E14001458,E12000004,Rutland and Stamford,,East Midlands,England,Alicia,Kearns,Female,Con hold,Con,Lab,71763,48577,170,10394,21248,43.7%,21248,43.7%,21248,10854,6252,7008,2806,0,0,0,0,0,0,0,409,0
E14001459,E12000002,Salford,,North West,England,Rebecca,Long-Bailey,Female,Lab hold,Lab,RUK,83633,39704,185,15101,21132,53.2%,21132,53.2%,3583,21132,2752,6031,5188,0,0,0,0,0,0,0,1018,0
E14001460,E12000009,Salisbury,,South West,England,John,Glen,Male,Con hold,Con,Lab,71802,50173,174,3807,17110,34.1%,17110,34.1%,17110,13303,11825,5235,2115,0,0,0,0,0,0,0,585,0
E14001461,E12000003,Scarborough and Whitby,,Yorkshire and The Humber,England,Alison,Hume,Female,Lab gain from Con,Lab,Con,74544,44221,120,5408,17758,40.2%,17758,40.2%,12350,17758,1899,9657,1719,0,0,0,0,0,0,0,838,0
